id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,coordinate
13913,Rental unit in Islington · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,54730,Alina,,Islington,Private room,79,1,41,12/11/2022,0.26,2,360,11,,"51.56861,-0.1127"
15400,Rental unit in London · ★4.80 · 1 bedroom · 1 bed · 1 bath,60302,Philippa,,Kensington and Chelsea,Entire home/apt,150,7,94,5/1/2023,0.56,1,73,5,,"51.4878,-0.16813"
92644,Rental unit in Earlsfield · ★4.57 · 1 bedroom · 2 beds · 1.5 shared baths,498201,Dee Dee,,Wandsworth,Private room,42,2,216,10/29/2022,1.45,1,217,9,,"51.44201,-0.18739"
17402,Rental unit in London · ★4.76 · 3 bedrooms · 3 beds · 2 baths,67564,Liz,,Westminster,Entire home/apt,476,3,54,11/19/2022,0.36,9,300,4,,"51.52195,-0.14094"
93015,Rental unit in Hammersmith · ★4.82 · 2 bedrooms · 3 beds · 1 bath,499704,Sarah,,Hammersmith and Fulham,Entire home/apt,175,5,38,9/30/2022,0.27,1,40,2,,"51.49993,-0.21707"
93734,Condo in London · ★4.62 · 1 bedroom · 1 bed · 1 shared bath,497514,William,,Greenwich,Private room,46,4,180,9/2/2023,1.21,1,196,25,,"51.47618,0.01442"
24328,Townhouse in London · ★4.90 · 1 bedroom · 1 bed · 1.5 baths,41759,Joe,,Wandsworth,Entire home/apt,250,2,96,7/19/2022,0.62,1,0,0,,"51.47072,-0.16266"
93783,Rental unit in London · ★4.73 · 2 bedrooms · 3 beds · 2 baths,502496,Darshi Rowan And Tara,,Westminster,Entire home/apt,371,5,24,5/29/2023,0.16,1,266,3,,"51.51881,-0.1965"
25123,Home in Barnet · ★4.78 · 1 bedroom · 1 bed · 1.5 shared baths,103583,Grace,,Barnet,Private room,29,10,129,3/15/2020,0.79,3,0,0,,"51.57438,-0.21081"
94138,Rental unit in Poplar · ★4.85 · 1 bedroom · 1 bed · 1 bath,503548,Carl,,Tower Hamlets,Entire home/apt,75,2,42,3/5/2020,0.64,1,0,0,,"51.52764,-0.05293"
31036,Condo in London · ★4.72 · 1 bedroom · 2 beds · 1 bath,133271,Hendryks,,Tower Hamlets,Entire home/apt,151,2,119,8/24/2023,0.74,11,97,2,,"51.52425,-0.06997"
94662,Rental unit in Lewisham · ★4.90 · 2 bedrooms · 2 beds · 1 bath,388516,Teresa,,Lewisham,Entire home/apt,120,3,114,9/22/2014,0.76,1,0,0,,"51.44809,-0.04135"
96052,Condo in London · ★4.82 · 2 bedrooms · 1 bed · 1 shared bath,448154,Aneta,,Brent,Private room,50,3,79,8/28/2023,0.53,2,238,4,,"51.5593,-0.22497"
33332,"Home in  St Margaret's, Isleworth · ★4.40 · 1 bedroom · 1 bed · 1 private bath",144444,Chi-Chi,,Richmond upon Thames,Private room,140,2,20,8/1/2022,0.13,2,365,0,,"51.4641,-0.32498"
97506,Rental unit in Lambeth · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,497537,Maria,,Lambeth,Private room,35,2,33,10/7/2019,0.22,1,354,0,,"51.42996,-0.12161"
34935,Rental unit in Greater London · ★4.54 · 1 bedroom · 2 beds · 1 bath,133271,Hendryks,,Tower Hamlets,Entire home/apt,106,2,119,12/3/2013,0.74,11,41,0,,"51.5236701965332,-0.0688859969377517"
98541,"Rental unit in Highgate, London  · ★4.46 · 1 bedroom · 2 beds · 1 bath",519891,Alicja,,Haringey,Entire home/apt,90,8,38,9/18/2022,0.28,1,332,1,,"51.57271,-0.13948"
36299,Townhouse in Richmond · ★4.80 · 3 bedrooms · 3 beds · 1.5 baths,155938,Geert,,Richmond upon Thames,Entire home/apt,245,3,106,8/27/2023,0.68,1,275,10,,"51.48085,-0.28086"
100479,Rental unit in Poplar · ★4.75 · 1 bedroom · 1 bed · 1 bath,506748,Mireya,,Tower Hamlets,Private room,55,1,4,9/24/2015,0.04,1,0,0,,"51.52819,-0.0561"
36660,Home in East Finchley · ★4.86 · 1 bedroom · 1 bed · 0 shared baths,157884,Agri & Roger,,Haringey,Private room,82,2,639,9/3/2023,4.04,2,186,66,,"51.58478,-0.16057"
38610,Townhouse in London · ★4.83 · 4 bedrooms · 4 beds · 2 baths,165579,Elisa & Dom,,Hammersmith and Fulham,Entire home/apt,265,14,42,8/27/2023,0.31,2,48,5,,"51.50701,-0.23362"
102565,Rental unit in Lambeth · ★4.91 · 1 bedroom · 1 bed · 1 bath,536025,Anne,,Lambeth,Private room,120,5,374,9/3/2023,2.5,1,270,20,,"51.50551,-0.10952"
38950,Townhouse in London · 3 bedrooms · 1 bed · 1.5 shared baths,167107,Paul,,Haringey,Private room,55,1,1,12/12/2021,0.05,2,89,0,,"51.58684,-0.08632"
38995,Rental unit in London · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,167281,Cesar,,Southwark,Private room,55,1,39,8/4/2023,0.89,1,89,33,,"51.4786,-0.06114"
103682,Townhouse in London · ★4.92 · 2 bedrooms · 3 beds · 1 private bath,540340,Rachel,,Tower Hamlets,Private room,68,3,64,3/9/2020,0.49,3,0,0,,"51.5347,-0.03215"
39387,Condo in London · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,168920,Alec,,Westminster,Private room,42,5,10,11/3/2019,0.09,1,0,0,,"51.52605,-0.19942"
103865,Home in London · ★5.0 · 1 bedroom · 1 bed · 1 private bath,492218,Richard,,Hammersmith and Fulham,Private room,78,5,3,11/14/2022,0.21,3,365,2,,"51.4865317057383,-0.225619095285664"
106332,Home in London · ★4.84 · 1 bedroom · 1 bed,264345,Susie,,Tower Hamlets,Private room,55,3,65,6/10/2016,0.43,1,0,0,,"51.52874,-0.05396"
41311,Home in Barnet · ★4.90 · 1 bedroom · 1 bed · 1.5 baths,103583,Grace,,Barnet,Private room,25,10,84,1/18/2020,0.53,3,0,0,,"51.574,-0.21058"
41445,Rental unit in London · ★4.56 · 2 bedrooms · 3 beds · 1 bath,180838,Sean,,Barnet,Entire home/apt,550,14,21,9/19/2019,0.15,1,83,0,,"51.61492,-0.25632"
107051,Houseboat in Central London Narrowboat · ★4.91 · 2 bedrooms · 3 beds · 1 bath,554519,Meg,,Westminster,Entire home/apt,221,2,655,9/3/2023,4.42,1,219,73,,"51.52055,-0.18317"
41509,Rental unit in Hounslow · ★4.50 · 1 bedroom · 3 beds · 1 shared bath,181028,Peter,,Hounslow,Private room,150,1,71,12/23/2019,0.48,1,0,0,,"51.49351,-0.25568"
111840,Rental unit in Islington · ★4.62 · 2 bedrooms · 2 beds · 1 bath,571831,Nadia,,Islington,Entire home/apt,150,1,26,7/25/2023,0.17,1,0,15,,"51.56221,-0.11687"
41712,Rental unit in London · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,182322,Nina,,Southwark,Private room,89,2,117,8/19/2023,0.77,2,346,11,,"51.50191,-0.10204"
41870,Home in Walthamstow · 2 bedrooms · 1 bed · 2.5 shared baths,182993,Bimpe,,Waltham Forest,Private room,37,2,2,7/2/2011,0.01,1,0,0,,"51.5584,0.00258"
116268,Townhouse in London · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,586671,Joe,,Enfield,Private room,40,7,37,5/9/2023,0.3,1,280,6,,"51.61137,-0.11888"
42010,Home in East Finchley · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,157884,Agri & Roger,,Barnet,Private room,65,4,549,9/3/2023,3.48,2,214,22,,"51.5859,-0.16434"
117203,Rental unit in London · ★4.85 · 1 bedroom · 1 bed · 1 bath,255103,Olga,,Hammersmith and Fulham,Entire home/apt,139,5,82,9/2/2023,0.58,1,18,11,,"51.5015500100113,-0.23300222360498"
42692,Rental unit in Kensington · 1 bedroom · 1 bed · 1.5 baths,186510,Shelley,,Hammersmith and Fulham,Private room,125,1,0,,,1,0,0,,"51.50822,-0.21562"
43129,Townhouse in London · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,188138,Sylvan,,Hammersmith and Fulham,Private room,60,3,234,8/27/2023,1.89,3,347,19,,"51.48164,-0.21082"
43202,Rental unit in London · ★4.86 · 1 bedroom · 1 bed · 1 bath,188559,Calypso,,Brent,Entire home/apt,130,5,129,9/1/2023,0.96,1,0,7,,"51.53031,-0.21713"
44384,Rental unit in Greater London · 1 bedroom · 1 bed · 1 shared bath,194769,S,,Barnet,Private room,43,30,1,7/26/2012,0.01,7,365,0,,"51.5979,-0.24327"
127652,Rental unit in Camden Town · ★4.88 · 2 bedrooms · 3 beds · 1.5 baths,134938,Ron,,Camden,Entire home/apt,185,2,211,5/9/2023,1.42,1,103,10,,"51.5595284226581,-0.144319163060851"
127860,Home in Richmond · 1 bedroom · 1 bed · 1 shared bath,161720,Andy,,Richmond upon Thames,Private room,1000,2,0,,,1,0,0,,"51.44777,-0.33962"
45163,Condo in London · 1 bedroom · 1 bed · 1 private bath,199530,Deb,,Camden,Private room,45,2,2,11/1/2021,0.02,1,265,0,,"51.55237,-0.19954"
131444,Rental unit in Lambeth · ★4.79 · 1 bedroom · 2 beds · 1 bath,646165,Yevgeniy,,Lambeth,Entire home/apt,100,3,137,8/23/2023,0.94,2,8,8,,"51.49148,-0.11151"
45168,Rental unit in London · ★4.82 · 1 bedroom · 2 beds · 1 bath,199549,Lina,,Westminster,Entire home/apt,125,3,102,1/3/2020,0.65,1,0,0,,"51.51812,-0.1977"
137581,Rental unit in Greater London · ★4.89 · 1 bedroom · 1 bed · 1 bath,471088,Anthony,,City of London,Entire home/apt,140,5,223,8/22/2023,1.51,1,0,10,,"51.51099,-0.07862"
46961,Rental unit in Kensington · 1 bedroom · 1 bed · 1.5 baths,194769,S,,Kensington and Chelsea,Entire home/apt,185,7,0,,,7,335,0,,"51.48063,-0.18175"
137907,Rental unit in London · ★4.69 · 1 bedroom · 1 bed · 1 bath,67564,Liz,,Camden,Entire home/apt,200,3,65,1/5/2023,0.49,9,194,2,,"51.52197,-0.14035"
46992,Condo in Hackney · ★4.85 · 1 bedroom · 1 bed · 1 private bath,211291,Alix,,Hackney,Private room,58,3,225,8/13/2022,1.42,1,0,0,,"51.55165,-0.05215"
142117,Rental unit in London · ★4.92 · 1 bedroom · 1 bed · 1.5 baths,192627,Clare,,Hackney,Entire home/apt,200,2,102,9/1/2023,0.69,1,321,6,,"51.52851,-0.08985"
47192,Rental unit in London · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,212734,Dino,,Camden,Private room,54,2,443,9/4/2023,2.81,1,267,24,,"51.52958,-0.14344"
47687,Rental unit in Hammersmith · ★4.69 · 1 bedroom · 1 bed · 1 bath,216660,Boris,,Hammersmith and Fulham,Entire home/apt,78,2,121,8/18/2023,0.77,12,92,36,,"51.4934,-0.22929"
145612,Rental unit in Ealing · ★4.78 · 1 bedroom · 1 bed · 1.5 shared baths,704495,Nina,,Ealing,Private room,35,7,112,6/9/2023,0.76,2,40,9,,"51.50426,-0.33444"
49970,Serviced apartment in Hammersmith · ★4.67 · 1 bedroom · 1 bed · 1 private bath,216660,Boris,,Hammersmith and Fulham,Hotel room,79,1,151,8/16/2023,0.98,12,135,39,,"51.49462,-0.22923"
51830,Rental unit in Notting Hill · ★4.67 · 1 bedroom · 2 beds · 1 bath,239020,Sarah,,Westminster,Entire home/apt,121,2,121,1/1/2020,0.79,1,1,0,,"51.51757,-0.19195"
152863,Rental unit in Muswell Hill · ★4.80 · 2 bedrooms · 2 beds · 1 bath,735248,Jamie,,Haringey,Entire home/apt,170,4,6,8/27/2018,0.04,1,0,0,,"51.58409,-0.14625"
55402,Condo in Croydon · ★5.0 · 2 bedrooms · 2 beds · 2 baths,57861,Beth,,Croydon,Entire home/apt,90,14,3,8/31/2023,0.05,1,179,1,,"51.37487,-0.11565"
154221,Rental unit in London · 2 bedrooms · 2 beds · 1 bath,211018,Sylvia,,Westminster,Entire home/apt,83,2,1,1/12/2016,0.01,1,0,0,,"51.4897,-0.13911"
55706,Rental unit in London · ★4.89 · 2 bedrooms · 4 beds · 2 baths,211108,Simon,,Kensington and Chelsea,Entire home/apt,350,10,93,1/11/2023,0.6,3,63,2,,"51.49506,-0.1563"
56229,Rental unit in Hammersmith · ★4.63 · 1 bedroom · 1 bed · 1.5 baths,216660,Boris,,Hammersmith and Fulham,Entire home/apt,80,5,91,8/21/2023,0.58,12,165,34,,"51.49547,-0.22942"
157714,Townhouse in Hammersmith · ★4.71 · 1 bedroom · 1 bed · 1.5 baths,757377,Eilinn,,Hammersmith and Fulham,Private room,69,4,179,7/10/2023,1.21,1,62,12,,"51.48974,-0.22208"
63948,Rental unit in Hammersmith · ★4.57 · 1 bedroom · 1 bed · 1 bath,216660,Boris,,Hammersmith and Fulham,Entire home/apt,79,3,97,8/23/2023,0.67,12,135,46,,"51.49547,-0.22864"
