id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,coordinate
2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,Jennifer,Manhattan,Midtown,Entire home/apt,240,30,49,6/21/2022,0.29,3,351,0,,"40.75356,-73.98559"
5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,Garon,Brooklyn,Bedford-Stuyvesant,Private room,66,30,50,12/2/2019,0.29,2,151,0,,"40.68535,-73.95512"
6848,Rental unit in Brooklyn · ★4.58 · 2 bedrooms · 1 bed · 1 bath,15991,Allen & Irina,Brooklyn,Williamsburg,Entire home/apt,81,30,191,8/14/2023,1.09,1,79,5,,"40.70935,-73.95342"
6872,Condo in New York · 1 bedroom · 1 bed · 1 shared bath,16104,Kae,Manhattan,East Harlem,Private room,65,30,1,6/5/2022,0.06,2,295,0,,"40.80107,-73.94255"
7064,Loft in Brooklyn · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,17297,Joelle,Brooklyn,Williamsburg,Private room,95,30,13,9/12/2022,0.08,2,26,0,,"40.71248,-73.95881"
7097,Home in Brooklyn · ★4.88 · 1 bedroom · 2 beds · 1 private bath,17571,Jane,Brooklyn,Fort Greene,Private room,205,2,347,9/24/2023,2.08,2,280,38,OSE-STRREG-0000008,"40.69194,-73.97389"
7801,Place to stay in Brooklyn · ★4.89 · 1 bed · 1 bath,21207,Chaya,Brooklyn,Williamsburg,Entire home/apt,350,30,11,9/16/2023,0.06,1,245,2,,"40.7188072204589,-73.9561767578125"
8490,Loft in Brooklyn · ★4.77 · 1 bedroom · 4 beds · 1 bath,25183,Nathalie,Brooklyn,Bedford-Stuyvesant,Entire home/apt,160,30,189,8/21/2023,1.1,2,343,32,,"40.68462,-73.93839"
9357,Rental unit in New York · ★4.52 · Studio · 1 bed · 1 bath,30193,Tommi,Manhattan,Hell's Kitchen,Entire home/apt,175,45,58,8/13/2017,0.34,1,337,0,,"40.76724,-73.98664"
10452,Rental unit in Brooklyn · ★4.65 · 1 bedroom · 2 beds · 1 shared bath,35935,Angela,Brooklyn,Bedford-Stuyvesant,Private room,90,30,84,9/16/2023,0.51,4,122,2,,"40.68294,-73.95682"
11943,Home in Brooklyn · 1 bedroom · 2 beds · 1 bath,45445,Harriet,Brooklyn,Flatbush,Private room,150,30,0,,,1,0,0,,"40.63702,-73.96327"
12192,Rental unit in New York · ★4.39 · 1 bedroom · 1 bed · 1 shared bath,46978,Edward,Manhattan,East Village,Private room,70,30,313,9/16/2023,1.85,1,154,29,,"40.72296,-73.98383"
12937,Townhouse in Queens · ★4.91 · 1 bedroom · 1 bed · 1 private bath,50124,Orestes,Queens,Long Island City,Private room,165,30,385,9/20/2023,2.38,1,217,46,,"40.74757,-73.94571"
